,Q2_coupler_connector_pad,via2_layer3_rectangle,Q2_pad_top,Q2_pad_bot,ground_plane
Q2_coupler_connector_pad,136.531154157501,-0.174125198449566,-30.4493505131466,-1.82788495611084,-104.079793489794
via2_layer3_rectangle,-0.174125198449566,229.33534492510609,-3.01097999384892,-49.4929200891276,-176.65731964368
Q2_pad_top,-30.4493505131466,-3.01097999384892,287.8643588305651,-60.8905738623636,-193.513454461206
Q2_pad_bot,-1.82788495611084,-49.4929200891276,-60.8905738623636,298.33041788528004,-186.119038977678
ground_plane,-104.079793489794,-176.65731964368,-193.513454461206,-186.119038977678,300.0
