,Q2_coupler_wire,via2_layer3_rectangle,readout1_trace,Q2_pad_bot,Q2_pad_top,Q1_pad_top,Q1_pad_bot,ground_plane
Q2_coupler_wire,343.2234901884353,-0.17896961212479,-0.269390094139404,-1.90594677436452,-30.5945375498352,-35.0754841634886,-2.32553613128076,-272.873625863202
via2_layer3_rectangle,-0.17896961212479,1768.3498962913166,-0.0029356456968531,-49.5715544429742,-2.98545132711636,-0.0092651923785096,-0.0120670819658226,-1715.58965298906
readout1_trace,-0.269390094139404,-0.0029356456968531,1755.024658675605,-0.0146585429546868,-0.0114741297918738,-2.73544081470594,-42.5482499138562,-1709.44250953446
Q2_pad_bot,-1.90594677436452,-49.5715544429742,-0.0146585429546868,298.65984095906623,-60.6782578583718,-0.0717962763392838,-0.09240015389976,-186.325226910162
Q2_pad_top,-30.5945375498352,-2.98545132711636,-0.0114741297918738,-60.6782578583718,287.8330667644872,-0.06938446414653361,-0.0735966682234542,-193.420364767002
Q1_pad_top,-35.0754841634886,-0.0092651923785096,-2.73544081470594,-0.0717962763392838,-0.06938446414653361,246.03614468645546,-50.8001101274826,-157.274663647914
Q1_pad_bot,-2.32553613128076,-0.0120670819658226,-42.5482499138562,-0.09240015389976,-0.0735966682234542,-50.8001101274826,250.1389390654526,-154.286978988744
ground_plane,-272.873625863202,-1715.58965298906,-1709.44250953446,-186.325226910162,-193.420364767002,-157.274663647914,-154.286978988744,300.0
