,Q1_coupler_connector_pad,via1_layer3_rectangle,Q1_pad_top,Q1_pad_bot,ground_plane
Q1_coupler_connector_pad,1.1460465050657865e-13,-8.456532121132199e-17,-1.99513512919368e-14,-1.51646586157854e-15,-9.305226803185201e-14
via1_layer3_rectangle,-8.456532121132199e-17,1.8184425107331005e-13,-2.01541171823712e-15,-2.74716935453736e-14,-1.52272580488488e-13
Q1_pad_top,-1.99513512919368e-14,-2.01541171823712e-15,2.375162185405471e-13,-5.1805948867801193e-14,-1.63743506662572e-13
Q1_pad_bot,-1.51646586157854e-15,-2.74716935453736e-14,-5.1805948867801193e-14,2.4141109695340733e-13,-1.60616988678654e-13
ground_plane,-9.305226803185201e-14,-1.52272580488488e-13,-1.63743506662572e-13,-1.60616988678654e-13,300.0
